"subj","run","trial","curiosityZ","curiosityCond","curHighLow","likelihoodZ","delay","motor","motorMisses","motorRTs","memory","Q_VTA_50_noSN_bin_mean_act","Q_VTA_50_noSN_bin_p2c","Q_HPC_mean_act","Q_HPC_p2c","Q_PHC_mask_MNI152_bin_mean_act","Q_PHC_mask_MNI152_bin_p2c","Q_PRC_mask_MNI152_bin_mean_act","Q_PRC_mask_MNI152_bin_p2c","A_VTA_50_noSN_bin_mean_act","A_VTA_50_noSN_bin_p2c","A_HPC_mean_act","A_HPC_p2c","A_PHC_mask_MNI152_bin_mean_act","A_PHC_mask_MNI152_bin_p2c","A_PRC_mask_MNI152_bin_mean_act","A_PRC_mask_MNI152_bin_p2c"
108,1,24,1.47129066723551,1,1,-0.855796245033711,9,0,0,0,1,-0.116026667041751,0.884922031410269,-0.114861475696097,0.764138503941658,0.12560618681308,0.628504950449802,0.346859723704711,0.458990218819739,-0.0348407906485591,1.18452028379194,-0.0402497778223627,0.96439417767946,0.218891616787988,0.547836460772605,0.131431312222776,0.7122387049238
108,1,25,-0.38005031694087,-1,0,-0.760611627284764,13,1,0,0.687204565459979,1,0.705063432978932,0.901254713837096,-0.115244139118126,0.799573227639622,0.375012897605261,0.831062536206205,-0.010716617286198,0.647889893689968,0.398813476989744,1.52799071462593,1.02124197010042,1.00807458725561,0.941735411012495,0.497683224444353,0.109731735878449,0.549796823760631
108,1,26,-1.64873576295007,-1,0,-0.962878940001276,9,0,0,0,0,-1.39922337194366,1.6002645097565,0.952874941896911,1.19811217063013,0.618353282481769,1.09489226398855,0.151573083008407,0.370945449274665,-0.50934877040072,1.22052774376212,0.753982559524633,1.21034161314468,0.216151393503202,1.21003737992079,0.982702890742075,0.565670952857516
108,2,1,-1.98705188188585,-1,0,-1.05806355775022,13,1,0,0.88220623327652,0,2.1341808717043,1.09906580034409,0.72171960019799,0.507923323552128,-0.017928998309045,0.690988679068012,-0.0155368253675988,1.22010054302232,0.0462437313180999,0.837076472806118,-0.284409957812802,0.86913030463978,0.66303160775564,1.47111896915221,-0.71162006421946,1.28382032394314
108,2,2,1.63105105673297,1,1,0.690953793386671,13,1,0,0.393728991868556,1,1.52789433501312,1.01586929768824,0.394562932104889,0.644856271308415,0.481954608704089,0.149981023969245,0.265567602832743,0.716620611727836,0.535865004672814,0.951493322175515,-0.355659552407522,0.718801388771959,0.520989780658269,0.624800912510341,-0.641636887924687,0.550522079692749
108,2,3,0.813453769304819,1,1,-0.51075200569378,9,1,0,0.482356563588837,1,0.00792188568402707,1.24432673050961,-0.587341728888295,0.729781778310569,-1.03681125555204,0.843625829571097,-1.26927665790463,0.478272039861609,0.452132861493737,1.02938595721576,0.00418874309930719,0.804652673547093,-0.510897279174805,0.694588794517591,0.248412518146688,0.988245709356559
108,2,4,1.25514425791543,1,1,-0.15380968913523,13,0,0,0,1,0.553542356462458,0.934162962810478,0.267302164488874,0.919216141714662,0.755295807422298,0.296684912675035,0.0552825581681645,1.05677858675521,-0.256829553233729,1.2771080061413,0.805395368935195,1.02117024034573,0.228324830284823,1.66093097793065,0.143665093639356,0.754250639713105
108,2,5,0.550319010132541,1,1,0.393501862921213,9,1,0,0.55963751678064,1,0.635395689537745,0.800667946738834,-0.0582014100885349,0.569627663023106,-0.0557012414005963,0.186633078368032,-0.392166441564768,0.521492068330436,0.091643632629939,0.664922343477497,-0.235809040977429,0.464444627688382,-0.0403052158181782,0.645131883221732,0.309958270730931,0.811573193254837
108,2,6,0.757067749482188,1,1,0.750444179479763,13,1,0,0.483328578906367,1,-0.111971878371151,1.05970436875716,-0.593457540937151,1.12781462222746,0.115971544628616,0.619203157561614,-0.441092014303285,1.25927159036546,0.916079615496528,0.701232949803478,0.27101014431874,0.809901798150897,0.734448508007099,1.0634854913488,0.53204933154193,0.58728328237873
108,2,7,-0.389447986911309,-1,0,-0.701121241191673,13,0,0,0,0,-1.10685831844603,0.540571732232348,0.551637532591502,1.11892529265322,0.457395934945477,1.28436535660799,0.620202622392753,0.570510513006091,1.06087132960602,0.777896848125205,-0.592861673798654,0.700599724878419,-0.768460562683407,1.03707222676789,-0.620678134240734,0.509500376364945
108,2,8,-1.79909848247708,-1,0,-0.843898167815093,9,0,0,0,0,-0.311454720289831,1.14966430853779,-0.325815046003692,0.887967254794253,0.0353256036938579,1.25361806891403,-0.125021395827207,0.683308873369481,-1.00427386804586,1.68809314131417,0.375347542831344,1.31870499990795,0.395387262174047,1.73812344595442,0.134598901440404,0.411621108818598
108,2,9,-1.44198702360042,-1,0,-0.891490476689566,13,0,0,0,0,-0.599188897782824,1.07017022453785,0.170357892090587,1.18797455119892,-0.139373316309994,0.297879146631242,-0.00952956876135431,0.825645051693487,1.19796293712716,0.855595799748031,0.619399550979356,0.706072499040458,0.733989226293849,0.357527324649169,0.0833774338893818,0.530603777224449
